booking_state,sync_status,projection_lifecycle,participation_lifecycle,classification,owner,rationale,policy_ref
PENDING,PENDING,ACTIVE,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,ACTIVE,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,ACTIVE,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,ACTIVE,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_HARD,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PENDING,TOMBSTONED_HARD,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,ACTIVE,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,ACTIVE,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,ACTIVE,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,ACTIVE,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
PENDING,PROCESSING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
